Source Text,Original Target,Translation,Baseline,Metrics,Baseline Metrics
can I feed peanuts to the elephants at your wedding?,Får jeg gi elefantene peanøtter?,Kan jeg gi peanøtter til elefantene i bryllupet ditt?,Kan jeg fôre jordnøtter til elefantene på bryllupet ditt?,"{'bleu': 10.55, 'r1': 0.59, 'r2': 0.27, 'rl': 0.47, 'chrF': 57.31, 'chrf++': 54.33, 'meteor': 0.58, 'bert_f1': 0.83, 'length': 53.0, 'len_ratio': 1.66}","{'bleu': 5.52, 'r1': 0.44, 'r2': 0.0, 'rl': 0.22, 'chrF': 47.23, 'chrf++': 40.94, 'meteor': 0.23, 'bert_f1': 0.78, 'length': 57.0, 'len_ratio': 1.78}"
of course there'll be elephants it's a stereotype that you feed them peanuts,"Jo, men de får ingen peanøtter.",Selvfølgelig vil det være elefanter det er en stereotype at du mate dem peanøtter,Selvfølgelig vil det være elefanter det er en stereotype som du fôrer dem jordnøtter,"{'bleu': 2.84, 'r1': 0.16, 'r2': 0.09, 'rl': 0.16, 'chrF': 27.97, 'chrf++': 22.4, 'meteor': 0.06, 'bert_f1': 0.7, 'length': 81.0, 'len_ratio': 2.61}","{'bleu': 0.0, 'r1': 0.15, 'r2': 0.0, 'rl': 0.15, 'chrF': 20.61, 'chrf++': 15.46, 'meteor': 0.0, 'bert_f1': 0.67, 'length': 84.0, 'len_ratio': 2.71}"
thank you Penny and Leonard I was kind of hoping I could sit next to Anu,"Jeg vil sitte med Anu, Leonard.",Takk Penny og Leonard Jeg håpet jeg kunne sitte ved siden av Anu,Takk Penny og Leonard Jeg håpet jeg kunne sitte ved siden av Anu,"{'bleu': 4.37, 'r1': 0.4, 'r2': 0.0, 'rl': 0.3, 'chrF': 33.01, 'chrf++': 30.37, 'meteor': 0.24, 'bert_f1': 0.77, 'length': 64.0, 'len_ratio': 2.06}","{'bleu': 4.37, 'r1': 0.4, 'r2': 0.0, 'rl': 0.3, 'chrF': 33.01, 'chrf++': 30.37, 'meteor': 0.24, 'bert_f1': 0.77, 'length': 64.0, 'len_ratio': 2.06}"
yeah it's just we haven't done it yet and I think it's important to make sure we're compatible before we get married,Vi bør sjekke at vi passer sammen før vi gifter oss.,"Ja, men vi har ikke gjort det ennå, og jeg tror det er viktig å sikre at vi er kompatible før vi gifter oss.",Ja det er bare vi ikke har gjort det ennå og jeg tror det er viktig å være sikker på at vi er kompatible før vi gifter oss,"{'bleu': 14.94, 'r1': 0.43, 'r2': 0.29, 'rl': 0.43, 'chrF': 39.95, 'chrf++': 40.28, 'meteor': 0.58, 'bert_f1': 0.81, 'length': 108.0, 'len_ratio': 2.08}","{'bleu': 9.94, 'r1': 0.38, 'r2': 0.25, 'rl': 0.38, 'chrF': 34.08, 'chrf++': 34.02, 'meteor': 0.49, 'bert_f1': 0.79, 'length': 122.0, 'len_ratio': 2.35}"
it doesn't have to be tonight how about this weekend? I can get us a room at my hotel,Det må ikke skje i kveld. Jeg kan ordne rom på hotellet i helgen.,Jeg kan skaffe oss et rom på hotellet mitt.,"Det trenger ikke være i kveld, hva med denne helgen? jeg kan skaffe oss et rom på hotellet mitt","{'bleu': 11.28, 'r1': 0.43, 'r2': 0.29, 'rl': 0.43, 'chrF': 34.63, 'chrf++': 33.76, 'meteor': 0.37, 'bert_f1': 0.8, 'length': 43.0, 'len_ratio': 0.66}","{'bleu': 9.85, 'r1': 0.59, 'r2': 0.25, 'rl': 0.53, 'chrF': 47.65, 'chrf++': 44.72, 'meteor': 0.5, 'bert_f1': 0.8, 'length': 95.0, 'len_ratio': 1.46}"
"okay, sounds nice",Ja!,Høres fint ut.,"OK, høres fint ut","{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 0.0, 'chrf++': 0.0, 'meteor': 0.0, 'bert_f1': 0.63, 'length': 14.0, 'len_ratio': 4.67}","{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 0.0, 'chrf++': 0.0, 'meteor': 0.0, 'bert_f1': 0.63, 'length': 17.0, 'len_ratio': 5.67}"
I am not worried if anything I'm overconfident,"Nei, heller for selvsikker.",Jeg er ikke bekymret om noe jeg er for tillitsfull.,Jeg er ikke bekymret hvis noe jeg er for tillitsfull,"{'bleu': 4.46, 'r1': 0.14, 'r2': 0.0, 'rl': 0.14, 'chrF': 23.11, 'chrf++': 20.9, 'meteor': 0.15, 'bert_f1': 0.71, 'length': 51.0, 'len_ratio': 1.89}","{'bleu': 4.2, 'r1': 0.14, 'r2': 0.0, 'rl': 0.14, 'chrF': 24.14, 'chrf++': 19.94, 'meteor': 0.08, 'bert_f1': 0.7, 'length': 52.0, 'len_ratio': 1.93}"
hey guys before Anu gets here can I talk about the seating situation,Kan vi snakke om sitteplassene?,"Hei, karer før Anu kommer, kan jeg snakke om sittesituasjonen?",Hei gutta før Anu kommer hit kan jeg snakke om sittestillingen,"{'bleu': 6.84, 'r1': 0.37, 'r2': 0.14, 'rl': 0.37, 'chrF': 42.46, 'chrf++': 38.88, 'meteor': 0.47, 'bert_f1': 0.79, 'length': 62.0, 'len_ratio': 2.0}","{'bleu': 7.5, 'r1': 0.35, 'r2': 0.13, 'rl': 0.35, 'chrF': 41.15, 'chrf++': 36.52, 'meteor': 0.39, 'bert_f1': 0.72, 'length': 62.0, 'len_ratio': 2.0}"
ah yes I wanted to get a jump on planning a day of fun for you,Jeg planlegger en artig dag for deg.,"Ja, jeg ville ha et hopp på å planlegge en dag med moro for deg.",ah ja jeg ønsket å få et hopp på planlegging en dag av moro for deg,"{'bleu': 9.67, 'r1': 0.48, 'r2': 0.11, 'rl': 0.48, 'chrF': 42.86, 'chrf++': 41.46, 'meteor': 0.71, 'bert_f1': 0.83, 'length': 64.0, 'len_ratio': 1.78}","{'bleu': 5.82, 'r1': 0.45, 'r2': 0.1, 'rl': 0.45, 'chrF': 37.03, 'chrf++': 34.46, 'meteor': 0.42, 'bert_f1': 0.76, 'length': 67.0, 'len_ratio': 1.86}"
ah to be honest I'm pretty anxious I mean this is the woman I'm marrying what if it's no good?,Jeg er ganske nervøs. Vi skal jo gifte oss. Tenk om det ikke blir bra.,"Ærlig talt er jeg bekymret. Jeg mener at dette er kvinnen jeg skal gifte meg med, hva om det ikke er bra?",ah for å være ærlig Jeg er ganske engstelig Jeg mener dette er kvinnen jeg gifter meg med hva om det ikke er bra?,"{'bleu': 7.38, 'r1': 0.42, 'r2': 0.11, 'rl': 0.42, 'chrF': 30.12, 'chrf++': 29.76, 'meteor': 0.37, 'bert_f1': 0.77, 'length': 105.0, 'len_ratio': 1.5}","{'bleu': 9.8, 'r1': 0.35, 'r2': 0.21, 'rl': 0.35, 'chrF': 37.66, 'chrf++': 35.5, 'meteor': 0.31, 'bert_f1': 0.75, 'length': 113.0, 'len_ratio': 1.61}"
just don't put so much pressure on it it - it's always a little awkward in the beginning I remember the first time I slept with Penny.,Det er alltid litt kleint I starten. Jeg husker den første gangen vår.,Jeg husker første gang jeg lå med Penny.,Bare ikke sette så mye press på det - det er alltid litt akavet i begynnelsen jeg husker første gang jeg sov med Penny.,"{'bleu': 5.82, 'r1': 0.33, 'r2': 0.18, 'rl': 0.33, 'chrF': 30.68, 'chrf++': 27.61, 'meteor': 0.14, 'bert_f1': 0.77, 'length': 40.0, 'len_ratio': 0.57}","{'bleu': 6.67, 'r1': 0.46, 'r2': 0.27, 'rl': 0.46, 'chrF': 46.03, 'chrf++': 40.5, 'meteor': 0.48, 'bert_f1': 0.79, 'length': 119.0, 'len_ratio': 1.7}"
by the way Anu is Indian she's gonna know there's no sexual move called the screeching lotus,Og Anu vet nok at det ikke er noe som heter skrikende lotus.,"Forresten, Anu er indianer, vil hun vite at det ikke fins noe seksuelt trekk som kalles forkrekkende lotus.","forresten, Anu er indisk hun kommer til å vite at det ikke er noe seksuelt trekk kalt forkrøftende lotus","{'bleu': 9.85, 'r1': 0.52, 'r2': 0.14, 'rl': 0.45, 'chrF': 40.79, 'chrf++': 40.59, 'meteor': 0.52, 'bert_f1': 0.8, 'length': 107.0, 'len_ratio': 1.78}","{'bleu': 19.5, 'r1': 0.44, 'r2': 0.27, 'rl': 0.44, 'chrF': 44.97, 'chrf++': 43.09, 'meteor': 0.46, 'bert_f1': 0.78, 'length': 104.0, 'len_ratio': 1.73}"
